Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,62,62000000000,5594.87,62.24,0.1,104094786.7,100%
write,write,28,1792000,99.21,99.14,0.05,3030.69,100%
write,write,36,2304000000,658.53,347.94,0.06,3896598.09,100%
write,write,18,18000000000,10131.28,1200.22,0.03,30442172.56,100%
list,list,47,0,20.68,20.68,0.08,0,100%
delete,delete,39,0,46.54,46.54,0.07,0,100%
read,read,134,8576000,27.16,25.46,0.23,14504,100%
read,read,112,7168000000,348.2,63.21,0.19,12122749.6,100%
read,read,62,62000000000,5435.27,54.03,0.1,104856372.14,100%
write,write,28,1792000,91,90.89,0.05,3000.3,100%
write,write,38,2432000000,1197.89,576.37,0.06,4071833.03,100%
write,write,19,19000000000,10776.37,525.79,0.03,31811195.53,100%
list,list,45,0,27.42,27.36,0.08,0,100%
delete,delete,39,0,70.05,70.05,0.07,0,100%
read,read,106,6784000,29.98,29.79,0.18,11358.27,100%
read,read,111,7104000000,397.88,41.18,0.19,11894038.58,100%
read,read,46,46000000000,6371.83,118,0.08,77016578.66,100%
write,write,37,2368000,90.43,90.38,0.06,3976.79,100%
write,write,38,2432000000,752.29,418.87,0.06,4084271.69,100%
write,write,21,21000000000,9680.43,572.9,0.04,35267148.65,100%
list,list,47,0,16.13,16.13,0.08,0,100%
delete,delete,39,0,45.67,45.67,0.07,0,100%
read,read,93,5952000,19.38,19.19,0.16,9995.72,100%
read,read,112,7168000000,500.08,41.77,0.19,12037853.41,100%
read,read,51,51000000000,5879.39,55.14,0.09,85648789.58,100%
write,write,47,3008000,95.09,95.04,0.08,5074.63,100%
write,write,26,1664000000,815.92,405.96,0.04,2807240.12,100%
write,write,18,18000000000,9922.28,670.61,0.03,30366780.09,100%
list,list,41,0,72.76,72.76,0.07,0,100%
delete,delete,42,0,44.81,44.81,0.07,0,100%
read,read,127,8128000,50.19,49.91,0.21,13712.29,100%
read,read,120,7680000000,446.07,42.18,0.2,12956492.84,100%
read,read,56,56000000000,5779.73,61.18,0.09,94474426.95,100%
write,write,36,2304000,93.53,93.44,0.06,3865.49,100%
write,write,34,2176000000,950.91,453.62,0.06,3650743.32,100%
write,write,16,16000000000,10555.25,636,0.03,26843700.87,100%
list,list,53,0,17.09,17.09,0.09,0,100%
delete,delete,55,0,45.47,45.47,0.09,0,100%
read,read,146,9344000,42.71,42.52,0.24,15676.72,100%
read,read,123,7872000000,335.27,34.21,0.21,13207100.83,100%
read,read,55,55000000000,6191.49,76.44,0.09,92275221.75,100%
write,write,28,1792000,59,58.93,0.05,3007.49,100%
write,write,36,2304000000,899.78,476.14,0.06,3866777.43,100%
write,write,22,22000000000,9158.55,365.41,0.04,36922353.97,100%
list,list,39,0,13.41,13.41,0.07,0,100%
delete,delete,45,0,76.53,76.53,0.08,0,100%
read,read,116,7424000,21.2,19.22,0.19,12459.62,100%
read,read,87,5568000000,377.29,54.26,0.15,9344712.13,100%
read,read,52,52000000000,6173.44,65.92,0.09,87271018.47,100%
write,write,36,2304000,124.67,124.64,0.06,3843.07,100%
write,write,43,2752000000,1280.37,455.84,0.07,4590331.28,100%
write,write,14,14000000000,9380.29,437.14,0.02,23351975.99,100%
list,list,32,0,6.59,6.59,0.05,0,100%
delete,delete,51,0,52.47,52.47,0.09,0,100%
read,read,108,6912000,18.93,18.65,0.18,11529.2,100%
read,read,112,7168000000,511.33,51.79,0.19,11956211.71,100%
read,read,60,60000000000,5773.62,76.9,0.1,100079897.12,100%
write,write,40,2560000,132.2,132.17,0.07,4370.66,100%
write,write,52,3328000000,727.79,365.02,0.09,5681856.98,100%
write,write,17,17000000000,10088.71,553.71,0.03,29023908.87,100%
list,list,56,0,38.7,38.7,0.1,0,100%
delete,delete,60,0,50.82,50.82,0.1,0,100%
read,read,130,8320000,16.98,16.76,0.22,14204.64,100%
