Timestamp,Op-Count,,,,,,,,Byte-Count,,,,,,,,Avg-ResTime,,,,,,,,Avg-ProcTime,,,,,,,,Throughput,,,,,,,,Bandwidth,,,,,,,,Succ-Ratio,,,,,,,,Version-Info,,
,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,Min-Version,Version,Max-Version
08:58:04,19,15,8,15,10,53,56,23,1216000,960000000,8000000000,0,0,3392000,3584000000,23000000000,145.89,1635.27,9721.5,15.93,114.7,44.19,665.07,7462.78,145.84,1175,359.62,15.93,114.7,43.94,56.59,73.57,4.08,3.04,1.58,2.8,2.37,11.03,11.99,4.77,261282.47,194594618.21,1577842667.01,0,0,705761.55,767383030.18,4767771779.05,100%,100%,100%,100%,100%,100%,100%,100%,37,37,37
08:58:09,43,42,18,37,42,95,101,45,2752000,2688000000,18000000000,0,0,6080000,6464000000,45000000000,95.05,1126.86,11601.33,281.65,57.19,36.73,508.41,8247.56,94.95,534.31,1035.5,281.65,57.19,36.48,68.55,62.78,8.67,8.35,3.8,7.39,8.34,19.28,19.73,8.72,554625.16,534425370.59,3795456426.89,0,0,1233885.97,1262539781.13,8717551601.25,100%,100%,100%,100%,100%,100%,100%,100%,38,38,38
08:58:14,26,18,11,24,32,72,80,27,1664000,1152000000,11000000000,0,0,4608000,5120000000,27000000000,72.12,1004.44,11576.09,88.21,52.12,68.31,497.52,6031.59,72.12,371.33,611.64,88.21,52.12,68.06,52.24,61.26,5.17,3.94,2.07,4.74,6.43,15.81,16.26,5.43,330621.83,252257604.94,2071127448.07,0,0,1011604.53,1040699724.09,5432527687.15,100%,100%,100%,100%,100%,100%,100%,100%,39,39,39
08:58:19,22,28,19,38,32,98,82,40,1408000,1792000000,19000000000,0,0,6272000,5248000000,40000000000,50.82,796.75,10764.21,20.47,50.28,48.02,533.72,6333.32,50.77,349.39,480.58,20.47,50.28,47.71,52.54,81.47,4.22,6.2,3.5,7.11,5.95,19.11,15.62,8.15,269864.01,396716747.06,3501708030.91,0,0,1223342.26,999666981.47,8149797955.67,100%,100%,100%,100%,100%,100%,100%,100%,40,40,40
08:58:24,27,33,8,48,45,101,120,38,1728000,2112000000,8000000000,0,0,6464000,7680000000,38000000000,60.52,1439.3,11296.25,27.67,53.51,41.45,579.26,7033.63,60.37,744.45,1432.5,27.67,53.51,39.26,96.16,84.29,5.3,6.26,1.53,8.5,7.96,19.12,21.76,7.19,339408.39,400604158.51,1533477693.52,0,0,1223803.63,1392921019.01,7188196663.7,100%,100%,100%,100%,100%,100%,100%,100%,41,41,41
08:58:29,29,23,12,35,36,62,79,28,1856000,1472000000,12000000000,0,0,3968000,5056000000,28000000000,852.38,1217.74,10383.25,17.2,799.08,22.81,529.35,5595.75,852.31,460.3,495.75,17.2,799.08,22.52,44.09,65.68,5.79,4.33,2.47,6.69,6.86,12.11,15,5.59,370789.85,277242549.51,2468948549.97,0,0,775082.71,959997588.37,5590482868.45,100%,100%,100%,100%,100%,100%,100%,100%,42,42,42
08:58:34,22,29,14,30,39,78,75,32,1408000,1856000000,14000000000,0,0,4992000,4800000000,32000000000,94.68,1157.34,11250.29,15.3,64.23,30.86,1449.2,5872.03,94.59,236.59,570.07,15.3,64.23,28.06,928.72,87.81,4.69,6.66,2.73,6.48,8.19,18.62,17.91,7.23,299840.77,426519954.44,2729606215.73,0,0,1191631.55,1146265313.98,7234575042.07,100%,100%,100%,100%,100%,100%,100%,100%,43,43,43
08:58:39,27,27,15,33,30,72,98,28,1728000,1728000000,15000000000,0,0,4608000,6272000000,28000000000,84.52,1270.7,10365.13,22.33,49.77,207.47,829.13,7594.71,84.48,767.59,536.2,22.3,49.77,207.21,443.66,128.57,5.41,5.26,2.75,6.5,6.01,14.7,19.5,5.86,346447.59,336643141.26,2750593558.26,0,0,940938.59,1248159945.88,5857736741.9,100%,100%,100%,100%,100%,100%,100%,100%,44,44,44
08:58:44,24,21,11,29,29,56,57,34,1536000,1344000000,11000000000,0,0,3584000,3648000000,34000000000,276.33,1194.33,12692.18,76.97,57.52,51.59,547.74,6946.26,276.17,515.76,1143.73,76.97,57.52,47.71,38.89,73.62,4.85,4.04,2.2,5.16,5.52,11.11,10.9,6.4,310109.02,258253383.35,2203576551.34,0,0,710878.28,697529345.1,6404467817.79,100%,100%,100%,100%,100%,100%,100%,100%,45,45,45
08:58:49,14,37,14,32,39,76,78,33,896000,2368000000,14000000000,0,0,4864000,4992000000,33000000000,194.71,1093.05,11065.71,25.03,57.74,57.95,675.13,7255.48,194.57,446.86,585.79,25,57.74,57.79,115.23,73.48,2.95,7.72,3.06,6.46,8.45,16.01,16.45,7.29,188722.29,494346925.2,3060804950.09,0,0,1024874.56,1052781103,7287422862.3,100%,100%,100%,100%,100%,100%,100%,100%,46,46,46
