Timestamp,Op-Count,,,,,,,,Byte-Count,,,,,,,,Avg-ResTime,,,,,,,,Avg-ProcTime,,,,,,,,Throughput,,,,,,,,Bandwidth,,,,,,,,Succ-Ratio,,,,,,,,Version-Info,,
,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,Min-Version,Version,Max-Version
08:51:14,27,19,18,39,40,80,91,43,1728000,1216000000,18000000000,0,0,5120000,5824000000,43000000000,82.44,1316.47,9821.78,370.08,196.4,35.4,535.14,7858.42,82.26,398,417.39,370.08,196.4,35.2,65.07,1152.91,5.43,3.47,3.47,7.85,7.42,15.46,17.31,8.69,347745.2,222008522.42,3467312384.48,0,0,989265.25,1108120905.57,8692108467.31,100%,100%,100%,100%,100%,100%,100%,100%,34,34,34
08:51:19,15,24,6,20,19,48,54,33,960000,1536000000,6000000000,0,0,3072000,3456000000,33000000000,86.13,783.54,11776.5,23.65,50.05,28.15,504.83,6941.82,86.07,308.54,485,23.65,50.05,27.85,61.24,76.97,2.86,4.51,1.32,3.59,3.32,8.13,9.77,6.03,183356.15,288839262.99,1324558016.4,0,0,520462.33,625432688.89,6033299722.57,100%,100%,100%,100%,100%,100%,100%,100%,35,35,35
08:51:24,29,22,20,30,35,64,86,40,1856000,1408000000,20000000000,0,0,4096000,5504000000,40000000000,146.07,1109.73,9754.65,46.5,54.51,25.59,538.36,6704.73,146.07,419.41,514.55,46.5,54.51,22.19,52.78,79.03,6.83,4.47,4.05,6.8,7.47,14.31,18.29,8.82,437067.02,286370250.68,4050384131.66,0,0,915869.25,1170845557.68,8824130653.15,100%,100%,100%,100%,100%,100%,100%,100%,36,36,36
08:51:29,17,16,10,31,27,62,55,35,1088000,1024000000,10000000000,0,0,3968000,3520000000,35000000000,82.35,854.56,9421.5,22.97,51.11,48.48,473.73,6389.71,82.24,473.75,632.3,22.97,51.11,44.94,50.11,104.91,3.07,3.26,1.9,5.69,5.02,11.72,11.33,6.92,196484.52,208582409.91,1897368969.89,0,0,749954.64,724841099.1,6924333139.2,100%,100%,100%,100%,100%,100%,100%,100%,37,37,37
08:51:34,28,24,8,44,38,87,81,34,1792000,1536000000,8000000000,0,0,5568000,5184000000,34000000000,163.11,1597,9627.25,611.59,350.53,684.07,1042.62,6934.44,162.93,337.25,570.75,611.59,350.53,683.77,587.86,93.85,5.66,4.42,1.62,8.91,7.93,17.51,16.09,7.05,362547.9,282626176,1619999861.77,0,0,1120946.47,1030001587.8,7052773586.72,100%,100%,100%,100%,100%,100%,100%,100%,38,38,38
08:51:39,32,29,19,43,39,77,73,46,2048000,1856000000,19000000000,0,0,4928000,4672000000,46000000000,148.78,1164.17,11505.63,25.51,58.38,27.77,597.78,6766.2,148.72,584.31,625.37,25.51,58.38,27.56,52.45,63.48,6.25,5.5,3.9,9.26,8,16.19,15.29,9.2,400308.97,352206445.7,3898886063.34,0,0,1035922.19,978279017.52,9204872596.43,100%,100%,100%,100%,100%,100%,100%,100%,39,39,39
08:51:44,44,27,14,41,31,101,94,42,2816000,1728000000,14000000000,0,0,6464000,6016000000,42000000000,347.11,955.89,8280.93,26.07,70.52,37.02,471.7,5719.52,347.05,378.67,438.14,26.07,70.52,34.74,53.85,64.6,7.88,4.69,2.72,7.29,5.51,19.84,16.4,7.51,504350.17,299930769,2717729176.98,0,0,1270032.41,1049684759.83,7506893662.76,100%,100%,100%,100%,100%,100%,100%,100%,40,40,40
08:51:49,36,29,10,32,28,75,79,42,2304000,1856000000,10000000000,0,0,4800000,5056000000,42000000000,238.86,875.14,10187.1,27.44,51.21,21.75,560.96,6524.17,238.78,426.86,574.7,27.44,51.21,21.44,105.39,61.14,7.12,5.77,1.96,6.21,5.97,15.17,15.87,8.09,455465.09,369114817.92,1956924918.79,0,0,970964.33,1015464042.36,8093299097.25,100%,100%,100%,100%,100%,100%,100%,100%,41,41,41
08:51:54,14,28,16,25,25,55,60,35,896000,1792000000,16000000000,0,0,3520000,3840000000,35000000000,83.5,975.14,8217.25,10.28,43.44,349.49,856.77,7299.6,83.29,462.36,275.06,10.28,43.44,349.22,368.7,396.26,2.69,5.41,3.13,4.84,4.74,11.03,11.68,7.37,172175.09,346558925.17,3129976153.42,0,0,706032.74,747423756.95,7368301148.2,100%,100%,100%,100%,100%,100%,100%,100%,42,42,42
08:51:59,24,27,9,34,29,69,84,47,1536000,1728000000,9000000000,0,0,4416000,5376000000,47000000000,76,764.96,8820,70.5,59.97,25.97,482.24,7258.06,75.96,296.74,441.22,70.5,59.97,25.75,56.1,440.79,4.87,5.78,1.71,6.06,5.66,13.04,16.41,9.11,311364.14,369768645.97,1712870786.75,0,0,834738.65,1050246870,9110154767.1,100%,100%,100%,100%,100%,100%,100%,100%,43,43,43
